LotID;DateDebut;DateFin;Methode;TemperatureMoyenne;DureeJours;PoidsEntree;PoidsSortie;pHFinal;Responsable;Observations;DateImport
F001;01/03/2024;07/03/2024;BoÓte bois;45.5;6;1200;980;5.2;Moussa;Fermentation uniforme;08/03/2024
F002;03/03/2024;10/03/2024;Tas;47.2;7;1500;1150;5.0;Jean;Probl√®me temp√©rature jour3;11/03/2024
F003;05/03/2024;12/03/2024;BoÓte bois;46.0;7;1800;1500;5.1;Patrice;Bonne fermentation;13/03/2024
F004;08/03/2024;15/03/2024;Tas;48.5;7;2000;1600;4.9;Sophie;Temp√©rature √©lev√©e;16/03/2024
F005;10/03/2024;16/03/2024;BoÓte bois;44.8;6;1400;1120;5.3;Alain;Conditions optimales;17/03/2024
F006;12/03/2024;19/03/2024;Tas;46.7;7;1700;1360;5.0;Marie;Humidit√© contr√¥l√©e;20/03/2024
F007;15/03/2024;21/03/2024;BoÓte bois;45.2;6;1600;1280;5.4;Pierre;Parfait;22/03/2024
F008;18/03/2024;25/03/2024;Tas;47.8;7;1900;1520;4.8;Antoine;Ventilation insuffisante;26/03/2024
F009;20/03/2024;26/03/2024;BoÓte bois;46.3;6;1300;1040;5.2;Claire;Normale;27/03/2024
F010;22/03/2024;29/03/2024;Tas;49.0;7;2100;1680;4.7;David;Temp√©rature trop haute;30/03/2024
F011;25/03/2024;01/04/2024;BoÓte bois;45.7;7;1750;1400;5.1;Sarah;Bon contr√¥le;02/04/2024
F012;28/03/2024;04/04/2024;Tas;46.5;7;1650;1320;5.0;Eric;Stable;05/04/2024
F013;30/03/2024;06/04/2024;BoÓte bois;44.5;7;1450;1160;5.5;Nadia;Excellente qualit√©;07/04/2024
F014;02/04/2024;09/04/2024;Tas;47.0;7;1550;1240;4.9;Luc;Moyen;10/04/2024
F015;05/04/2024;11/04/2024;BoÓte bois;46.8;6;1250;1000;5.3;Julie;Satisfaisant;12/04/2024
F016;08/04/2024;15/04/2024;Tas;48.2;7;1850;1480;4.8;Paul;Probl√®me humidit√©;16/04/2024
F017;10/04/2024;16/04/2024;BoÓte bois;45.0;6;1350;1080;5.4;Chantal;Tr√®s bon;17/04/2024
F018;12/04/2024;19/04/2024;Tas;46.9;7;1950;1560;5.0;Michel;Correct;20/04/2024
F019;15/04/2024;21/04/2024;BoÓte bois;44.9;6;1100;880;5.2;Laure;Petit lot;22/04/2024
F020;18/04/2024;25/04/2024;Tas;47.5;7;2050;1640;4.9;Bernard;Grand lot;26/04/2024
