TransactionID,DateTransaction,TypeAcheteur,NomAcheteur,QuantiteKG,PrixKGFCFA,TotalFCFA,Lieu,MoyenTransport,ProduitForme
T001,2024-03-05,Transformateur,ChocoCam SARL,500,1500,750000,Marché Buea,Camionnette,Fèves sèches
T002,2024-03-10,Négociant,Sarl CacaoPlus,300,1450,435000,Muyuka,Moto,Fèves fermentées
T003,2024-03-12,Transformateur,Chocolaterie du Littoral,750,1550,1162500,Douala,Camion,Fèves sèches Grade A
T004,2024-03-15,Négociant,Ets Mboumou,250,1400,350000,Kumba,Moto,Fèves fermentées
T005,2024-03-18,Exportateur,CamCacao Export,1200,1600,1920000,Limbé,Camion remorque,Fèves sèches
T006,2024-03-20,Transformateur,ChocoCam SARL,600,1520,912000,Marché Buea,Camionnette,Fèves sèches
T007,2024-03-22,Négociant,Sarl CacaoPlus,400,1475,590000,Muyuka,Moto,Fèves fermentées
T008,2024-03-25,Transformateur,Chocolaterie du Littoral,850,1560,1326000,Douala,Camion,Fèves sèches Grade A
T009,2024-03-28,Négociant,Ets Mboumou,350,1420,497000,Kumba,Moto,Fèves fermentées
T010,2024-03-30,Exportateur,CamCacao Export,1500,1620,2430000,Limbé,Camion remorque,Fèves sèches
T011,2024-04-02,Transformateur,ChocoCam SARL,550,1510,830500,Marché Buea,Camionnette,Fèves sèches
T012,2024-04-05,Négociant,Sarl CacaoPlus,320,1460,467200,Muyuka,Moto,Fèves fermentées
T013,2024-04-08,Transformateur,Chocolaterie du Littoral,900,1570,1413000,Douala,Camion,Fèves sèches Grade A
T014,2024-04-10,Négociant,Ets Mboumou,280,1410,394800,Kumba,Moto,Fèves fermentées
T015,2024-04-12,Exportateur,CamCacao Export,1800,1630,2934000,Limbé,Camion remorque,Fèves sèches
T016,2024-04-15,Transformateur,ChocoCam SARL,650,1530,994500,Marché Buea,Camionnette,Fèves sèches
T017,2024-04-18,Négociant,Sarl CacaoPlus,380,1480,562400,Muyuka,Moto,Fèves fermentées
T018,2024-04-20,Transformateur,Chocolaterie du Littoral,950,1580,1501000,Douala,Camion,Fèves sèches Grade A
T019,2024-04-22,Négociant,Ets Mboumou,420,1435,602700,Kumba,Moto,Fèves fermentées
T020,2024-04-25,Exportateur,CamCacao Export,2000,1650,3300000,Limbé,Camion remorque,Fèves sèches
